title,id
Avatar,19995
Pirates of the Caribbean: At World's End,285
Spectre,206647
The Dark Knight Rises,49026
John Carter,49529
Spider-Man 3,559
Tangled,38757
Avengers: Age of Ultron,99861
Harry Potter and the Half-Blood Prince,767
Batman v Superman: Dawn of Justice,209112
Superman Returns,1452
Quantum of Solace,10764
Pirates of the Caribbean: Dead Man's Chest,58
The Lone Ranger,57201
Man of Steel,49521
The Chronicles of Narnia: Prince Caspian,2454
The Avengers,24428
Pirates of the Caribbean: On Stranger Tides,1865
Men in Black 3,41154
The Hobbit: The Battle of the Five Armies,122917
The Amazing Spider-Man,1930
Robin Hood,20662
The Hobbit: The Desolation of Smaug,57158
The Golden Compass,2268
King Kong,254
Titanic,597
Captain America: Civil War,271110
Battleship,44833
Jurassic World,135397
Skyfall,37724
Spider-Man 2,558
Iron Man 3,68721
Alice in Wonderland,12155
X-Men: The Last Stand,36668
Monsters University,62211
Transformers: Revenge of the Fallen,8373
Transformers: Age of Extinction,91314
Oz: The Great and Powerful,68728
The Amazing Spider-Man 2,102382
TRON: Legacy,20526
Cars 2,49013
Green Lantern,44912
Toy Story 3,10193
Terminator Salvation,534
Furious 7,168259
World War Z,72190
X-Men: Days of Future Past,127585
Star Trek Into Darkness,54138
Jack the Giant Slayer,81005
The Great Gatsby,64682
Prince of Persia: The Sands of Time,9543
Pacific Rim,68726
Transformers: Dark of the Moon,38356
Indiana Jones and the Kingdom of the Crystal Skull,217
The Good Dinosaur,105864
Brave,62177
Star Trek Beyond,188927
WALL·E,10681
Rush Hour 3,5174
2012,14161
A Christmas Carol,17979
Jupiter Ascending,76757
The Legend of Tarzan,258489
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",411
X-Men: Apocalypse,246655
The Dark Knight,155
Up,14160
Monsters vs Aliens,15512
Iron Man,1726
Hugo,44826
Wild Wild West,8487
The Mummy: Tomb of the Dragon Emperor,1735
Suicide Squad,297761
Evan Almighty,2698
Edge of Tomorrow,137113
Waterworld,9804
G.I. Joe: The Rise of Cobra,14869
Inside Out,150540
The Jungle Book,278927
Iron Man 2,10138
Snow White and the Huntsman,58595
Maleficent,102651
Dawn of the Planet of the Apes,119450
The Lovers,79698
47 Ronin,64686
Captain America: The Winter Soldier,100402
Shrek Forever After,10192
Tomorrowland,158852
Big Hero 6,177572
Wreck-It Ralph,82690
The Polar Express,5255
Independence Day: Resurgence,47933
How to Train Your Dragon,10191
Terminator 3: Rise of the Machines,296
Guardians of the Galaxy,118340
Interstellar,157336
Inception,27205
Shin Godzilla,315011
The Hobbit: An Unexpected Journey,49051
The Fast and the Furious,9799
The Curious Case of Benjamin Button,4922
X-Men: First Class,49538
The Hunger Games: Mockingjay - Part 2,131634
The Sorcerer's Apprentice,27022
Poseidon,503
Alice Through the Looking Glass,241259
Shrek the Third,810
Warcraft,68735
Terminator Genisys,87101
The Chronicles of Narnia: The Voyage of the Dawn Treader,10140
Pearl Harbor,676
Transformers,1858
Alexander,1966
Harry Potter and the Order of the Phoenix,675
Harry Potter and the Goblet of Fire,674
Hancock,8960
I Am Legend,6479
Charlie and the Chocolate Factory,118
Ratatouille,2062
Batman Begins,272
Madagascar: Escape 2 Africa,10527
Night at the Museum: Battle of the Smithsonian,18360
X-Men Origins: Wolverine,2080
The Matrix Revolutions,605
Frozen,109445
The Matrix Reloaded,604
Thor: The Dark World,76338
Mad Max: Fury Road,76341
Angels & Demons,13448
Thor,10195
Bolt,13053
G-Force,19585
Wrath of the Titans,57165
Dark Shadows,62213
Mission: Impossible - Rogue Nation,177677
The Wolfman,7978
Bee Movie,5559
Kung Fu Panda 2,49444
The Last Airbender,10196
Mission: Impossible III,956
White House Down,117251
Mars Needs Moms,50321
Flushed Away,11619
Pan,266647
Mr. Peabody & Sherman,82703
Troy,652
Madagascar 3: Europe's Most Wanted,80321
Die Another Day,36669
Ghostbusters,43074
Armageddon,95
Men in Black II,608
Beowulf,2310
Kung Fu Panda 3,140300
Mission: Impossible - Ghost Protocol,56292
Rise of the Guardians,81188
Fun with Dick and Jane,7552
The Last Samurai,616
Exodus: Gods and Kings,147441
Star Trek,13475
Spider-Man,557
How to Train Your Dragon 2,82702
Gods of Egypt,205584
Stealth,10048
Watchmen,13183
Lethal Weapon 4,944
Hulk,1927
G.I. Joe: Retaliation,72559
Sahara,7364
Final Fantasy: The Spirits Within,2114
Captain America: The First Avenger,1771
The World Is Not Enough,36643
Master and Commander: The Far Side of the World,8619
The Twilight Saga: Breaking Dawn - Part 2,50620
Happy Feet Two,65759
The Incredible Hulk,1724
The BFG,267935
The Revenant,281957
Turbo,77950
Rango,44896
Penguins of Madagascar,270946
The Bourne Ultimatum,2503
Kung Fu Panda,9502
Ant-Man,102899
The Hunger Games: Catching Fire,101299
Home,228161
War of the Worlds,74
Bad Boys II,8961
Puss in Boots,417859
Salt,27576
Noah,86834
The Adventures of Tintin,17578
Harry Potter and the Prisoner of Azkaban,673
Australia,6972
After Earth,82700
Dinosaur,10567
Night at the Museum: Secret of the Tomb,181533
Megamind,38055
Harry Potter and the Philosopher's Stone,671
R.I.P.D.,49524
Pirates of the Caribbean: The Curse of the Black Pearl,22
The Hunger Games: Mockingjay - Part 1,131631
The Da Vinci Code,591
Rio 2,172385
X2,36658
Fast Five,51497
Sherlock Holmes: A Game of Shadows,58574
Clash of the Titans,18823
Total Recall,861
The 13th Warrior,1911
The Bourne Legacy,49040
Batman & Robin,415
How the Grinch Stole Christmas,8871
The Day After Tomorrow,435
Mission: Impossible II,955
The Perfect Storm,2133
Fantastic 4: Rise of the Silver Surfer,1979
Life of Pi,87827
Ghost Rider,1250
Jason Bourne,324668
Charlie's Angels: Full Throttle,9471
Prometheus,70981
Stuart Little 2,10996
Elysium,68724
The Chronicles of Riddick,2789
RoboCop,97020
Speed Racer,7459
How Do You Know,42888
Knight and Day,37834
Oblivion,75612
Star Wars: Episode III - Revenge of the Sith,1895
Star Wars: Episode II - Attack of the Clones,1894
"Monsters, Inc.",585
The Wolverine,76170
Star Wars: Episode I - The Phantom Menace,1893
The Croods,49519
